site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
G191 13AUG21 2013.6372 56525 1754 3 141.5 3005 0.285717 4355968 0.198501 316 0.984851 0.0000 0.000737 0.000963 0.003290 -0.093130 0.015728 -0.197949 39.3374585779 -218.4651413209 316.98485
G191 13AUG22 2013.6400 56526 1754 4 141.5 3005 0.284146 4355968 0.196531 316 0.992317 0.0000 0.000711 0.000944 0.003142 -0.103870 0.040391 -0.114715 39.3374585602 -218.4651413392 316.99232
G191 13AUG23 2013.6427 56527 1754 5 141.5 3005 0.287398 4355968 0.193189 316 0.991174 0.0000 0.000729 0.000967 0.003249 -0.103373 0.054104 -0.076056 39.3374585301 -218.4651413015 316.99117
G191 13AUG24 2013.6454 56528 1754 6 141.5 3005 0.287016 4355968 0.192078 316 0.983961 0.0000 0.000747 0.000968 0.003310 -0.131353 0.075335 -0.127508 39.3374585201 -218.4651413059 316.98396
G191 13AUG25 2013.6482 56529 1755 0 141.5 3005 0.287172 4355968 0.196854 316 1.005906 0.0000 0.000732 0.000967 0.003163 -0.102987 0.048907 -0.142358 39.3374585631 -218.4651413041 317.00591
G191 13AUG26 2013.6509 56530 1755 1 141.5 3005 0.289967 4355968 0.196696 316 0.990736 0.0000 0.000730 0.000954 0.003161 -0.122987 0.049923 -0.197717 39.3374585617 -218.4651412717 316.99074
G191 13AUG27 2013.6537 56531 1755 2 141.5 3005 0.289250 4355968 0.193450 316 0.983194 0.0000 0.000750 0.000967 0.003333 -0.115721 0.052921 -0.126514 39.3374585324 -218.4651412800 316.98319
G191 13AUG28 2013.6564 56532 1755 3 141.5 3005 0.292022 4355968 0.194107 316 0.995841 0.0000 0.000730 0.000945 0.003151 -0.111140 0.045449 -0.123162 39.3374585383 -218.4651412478 316.99584
G191 13AUG29 2013.6591 56533 1755 4 141.5 3005 0.289946 4355968 0.194251 316 0.995402 0.0000 0.000724 0.000973 0.003159 -0.137599 0.108399 -0.148407 39.3374585396 -218.4651412719 316.99540
G191 13AUG30 2013.6619 56534 1755 5 141.5 3005 0.291419 4355968 0.195356 316 0.986945 0.0000 0.000745 0.000979 0.003341 -0.134724 0.045607 -0.158316 39.3374585496 -218.4651412548 316.98695
