site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
J183 96MAR21 1996.2190 50163 845 4 140.8 -1078 -0.170782 4453450 0.866191 167 0.881180 0.0000 0.001783 0.002503 0.008455 -0.014038 -0.119717 -0.134237 40.2154407973 -219.2126657535 167.88118
J183 96MAR22 1996.2218 50164 845 5 140.8 -1078 -0.166011 4453450 0.864017 167 0.899193 0.0000 0.001185 0.001570 0.005605 -0.038633 -0.002057 -0.078903 40.2154407777 -219.2126656974 167.89919
J183 96MAR23 1996.2245 50165 845 6 140.8 -1078 -0.168003 4453450 0.862097 167 0.894179 0.0000 0.001158 0.001546 0.005462 -0.013304 -0.048634 -0.112914 40.2154407604 -219.2126657208 167.89418
J183 96MAR24 1996.2272 50166 846 0 140.8 -1078 -0.165173 4453450 0.864724 167 0.898914 0.0000 0.001237 0.001593 0.005782 -0.095961 -0.037134 -0.075094 40.2154407841 -219.2126656876 167.89891
J183 96MAR25 1996.2300 50167 846 1 140.8 -1078 -0.167343 4453450 0.865838 167 0.897281 0.0000 0.001229 0.001519 0.005710 -0.048312 0.025188 -0.151588 40.2154407941 -219.2126657131 167.89728
J183 96MAR26 1996.2327 50168 846 2 140.8 -1078 -0.167423 4453450 0.863621 167 0.879024 0.0000 0.001165 0.001476 0.005439 -0.020530 -0.025797 -0.129889 40.2154407741 -219.2126657140 167.87902
J183 96MAR27 1996.2355 50169 846 3 140.8 -1078 -0.169293 4453450 0.859533 167 0.889707 0.0000 0.001129 0.001477 0.005334 0.009303 -0.003304 -0.129013 40.2154407373 -219.2126657360 167.88971
J183 96MAR28 1996.2382 50170 846 4 140.8 -1078 -0.165316 4453450 0.859751 167 0.893938 0.0000 0.001108 0.001452 0.005224 -0.024022 0.022476 -0.140588 40.2154407393 -219.2126656893 167.89394
J183 96MAR29 1996.2409 50171 846 5 140.8 -1078 -0.163050 4453450 0.864560 167 0.890128 0.0000 0.001128 0.001471 0.005325 -0.019509 0.033815 -0.124498 40.2154407826 -219.2126656626 167.89013
J183 96MAR30 1996.2437 50172 846 6 140.8 -1078 -0.171503 4453450 0.864415 167 0.889818 0.0000 0.001133 0.001440 0.005256 0.004750 -0.007813 -0.139599 40.2154407813 -219.2126657619 167.88982
J183 96MAR31 1996.2464 50173 847 0 140.8 -1078 -0.174951 4453450 0.866997 167 0.892713 0.0000 0.001122 0.001456 0.005266 0.006841 -0.042315 -0.120042 40.2154408045 -219.2126658025 167.89271
J183 96APR01 1996.2491 50174 847 1 140.8 -1078 -0.168602 4453450 0.862913 167 0.898522 0.0000 0.001129 0.001429 0.005252 -0.005265 0.018820 -0.130367 40.2154407678 -219.2126657279 167.89852
J183 96APR02 1996.2519 50175 847 2 140.8 -1078 -0.168486 4453450 0.866651 167 0.890492 0.0000 0.001144 0.001491 0.005413 0.019728 -0.022142 -0.164340 40.2154408014 -219.2126657265 167.89049
J183 96APR03 1996.2546 50176 847 3 140.8 -1078 -0.167896 4453450 0.865498 167 0.899446 0.0000 0.001150 0.001478 0.005472 0.022334 -0.027469 -0.085997 40.2154407910 -219.2126657196 167.89945
J183 96APR04 1996.2574 50177 847 4 140.8 -1078 -0.170259 4453450 0.862792 167 0.895118 0.0000 0.001136 0.001432 0.005389 0.036235 -0.063864 -0.207526 40.2154407667 -219.2126657473 167.89512
J183 96APR05 1996.2601 50178 847 5 140.8 -1078 -0.164554 4453450 0.864518 167 0.891944 0.0000 0.001227 0.001503 0.005588 0.011874 -0.021054 -0.148970 40.2154407822 -219.2126656803 167.89194
J183 96APR06 1996.2628 50179 847 6 140.8 -1078 -0.169000 4453450 0.861352 167 0.893158 0.0000 0.001139 0.001407 0.005222 0.029282 -0.009939 -0.176526 40.2154407537 -219.2126657325 167.89316
J183 96APR07 1996.2656 50180 848 0 140.8 -1078 -0.166745 4453450 0.859144 167 0.900001 0.0000 0.001140 0.001436 0.005273 0.013072 -0.023239 -0.149597 40.2154407338 -219.2126657060 167.90000
J183 96APR08 1996.2683 50181 848 1 140.8 -1078 -0.169633 4453450 0.860089 167 0.896931 0.0000 0.001155 0.001469 0.005358 -0.020478 -0.039520 -0.169131 40.2154407423 -219.2126657400 167.89693
J183 96APR09 1996.2710 50182 848 2 140.8 -1078 -0.170733 4453450 0.864056 167 0.878271 0.0000 0.001156 0.001468 0.005362 0.000784 -0.031572 -0.131064 40.2154407780 -219.2126657529 167.87827
J183 96APR10 1996.2738 50183 848 3 140.8 -1078 -0.168501 4453450 0.861873 167 0.897879 0.0000 0.001141 0.001452 0.005269 -0.042820 0.041516 -0.161765 40.2154407584 -219.2126657267 167.89788
J183 96APR11 1996.2765 50184 848 4 140.8 -1078 -0.164749 4453450 0.859622 167 0.889314 0.0000 0.001101 0.001407 0.005062 -0.039232 0.030707 -0.141356 40.2154407381 -219.2126656826 167.88931
J183 96APR12 1996.2793 50185 848 5 140.8 -1078 -0.167665 4453450 0.861481 167 0.892443 0.0000 0.001222 0.001536 0.005588 -0.106128 -0.007311 -0.169321 40.2154407549 -219.2126657169 167.89244
J183 96APR13 1996.2820 50186 848 6 140.8 -1078 -0.169252 4453450 0.861084 167 0.882753 0.0000 0.001181 0.001499 0.005560 -0.069387 0.010944 -0.133699 40.2154407513 -219.2126657355 167.88275
J183 96APR14 1996.2847 50187 849 0 140.8 -1078 -0.165831 4453450 0.861312 167 0.895831 0.0000 0.001221 0.001482 0.005556 -0.067501 -0.054792 -0.134002 40.2154407533 -219.2126656953 167.89583
J183 96APR15 1996.2875 50188 849 1 140.8 -1078 -0.169206 4453450 0.858507 167 0.886495 0.0000 0.001275 0.001511 0.005716 -0.073736 -0.039770 -0.146325 40.2154407281 -219.2126657350 167.88649
J183 96APR16 1996.2902 50189 849 2 140.8 -1078 -0.167295 4453450 0.864457 167 0.908272 0.0000 0.001150 0.001447 0.005314 -0.039177 -0.040445 -0.168457 40.2154407817 -219.2126657125 167.90827
J183 96APR17 1996.2930 50190 849 3 140.8 -1078 -0.171711 4453450 0.859276 167 0.891114 0.0000 0.001143 0.001438 0.005306 -0.062795 0.014836 -0.180137 40.2154407350 -219.2126657644 167.89111
J183 96APR18 1996.2957 50191 849 4 140.8 -1078 -0.166183 4453450 0.860097 167 0.898315 0.0000 0.001205 0.001537 0.005613 -0.055463 -0.042745 -0.130471 40.2154407424 -219.2126656994 167.89831
