site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
JGD2 22AUG28 2022.6557 59819 2225 0 141.4 -1067 -0.999232 4524553 0.244599 42 0.972713 0.0000 0.001488 0.001682 0.007298 -0.089135 0.146219 -0.125313 40.8557435043 -218.6126662722 42.97271
JGD2 22AUG29 2022.6585 59820 2225 1 141.4 -1067 -0.991369 4524553 0.239964 42 0.977230 0.0000 0.001495 0.001754 0.007432 -0.114488 0.021953 -0.071254 40.8557434625 -218.6126661789 42.97723
JGD2 22AUG30 2022.6612 59821 2225 2 141.4 -1067 -0.990578 4524553 0.246407 42 1.014280 0.0000 0.001339 0.001602 0.006850 -0.128162 0.158366 -0.080906 40.8557435205 -218.6126661695 43.01428
JGD2 22AUG31 2022.6639 59822 2225 3 141.4 -1067 -0.988140 4524553 0.245099 42 0.986437 0.0000 0.001391 0.001658 0.007207 0.036484 0.093751 -0.007921 40.8557435088 -218.6126661406 42.98644
JGD2 22SEP01 2022.6667 59823 2225 4 141.4 -1067 -0.992406 4524553 0.243907 42 0.989142 0.0000 0.001331 0.001624 0.007416 -0.028651 0.239025 -0.097937 40.8557434980 -218.6126661912 42.98914
JGD2 22SEP02 2022.6694 59824 2225 5 141.4 -1067 -1.004657 4524553 0.248238 42 0.988919 0.0000 0.001433 0.001599 0.006590 -0.019439 -0.009650 -0.110895 40.8557435370 -218.6126663365 42.98892
JGD2 22SEP03 2022.6721 59825 2225 6 141.4 -1067 -0.996976 4524553 0.251076 42 0.983282 0.0000 0.001320 0.001637 0.006570 0.009901 0.010280 -0.102885 40.8557435626 -218.6126662454 42.98328
JGD2 22SEP04 2022.6749 59826 2226 0 141.4 -1067 -0.993545 4524553 0.244560 42 0.971572 0.0000 0.001309 0.001555 0.006646 -0.163359 0.093913 -0.029283 40.8557435039 -218.6126662047 42.97157
JGD2 22SEP05 2022.6776 59827 2226 1 141.4 -1067 -0.989464 4524553 0.252794 42 1.002633 0.0000 0.001255 0.001504 0.006527 -0.116785 0.068348 0.028895 40.8557435781 -218.6126661563 43.00263
JGD2 22SEP06 2022.6804 59828 2226 2 141.4 -1067 -0.990230 4524553 0.253354 42 1.006067 0.0000 0.001244 0.001524 0.006426 0.000524 0.030870 0.119295 40.8557435831 -218.6126661654 43.00607
JGD2 22SEP07 2022.6831 59829 2226 3 141.4 -1067 -0.994661 4524553 0.247187 42 0.963693 0.0000 0.001168 0.001506 0.006127 -0.039856 0.075080 -0.013261 40.8557435276 -218.6126662179 42.96369
JGD2 22SEP08 2022.6858 59830 2226 4 141.4 -1067 -0.988111 4524553 0.245679 42 0.985200 0.0000 0.001232 0.001493 0.006291 0.013805 0.125984 -0.114856 40.8557435140 -218.6126661402 42.98520
JGD2 22SEP09 2022.6886 59831 2226 5 141.4 -1067 -0.996904 4524553 0.243873 42 0.993588 0.0000 0.001353 0.001564 0.006233 0.176152 0.113741 -0.090082 40.8557434977 -218.6126662445 42.99359
JGD2 22SEP10 2022.6913 59832 2226 6 141.4 -1067 -0.993145 4524553 0.247627 42 0.988311 0.0000 0.001215 0.001457 0.006230 0.072915 0.094805 -0.102964 40.8557435315 -218.6126662000 42.98831
JGD2 22SEP11 2022.6940 59833 2227 0 141.4 -1067 -0.985286 4524553 0.251075 42 0.987178 0.0000 0.001137 0.001454 0.005845 -0.058922 0.115710 -0.058860 40.8557435626 -218.6126661068 42.98718
JGD2 22SEP12 2022.6968 59834 2227 1 141.4 -1067 -0.989696 4524553 0.246499 42 0.981239 0.0000 0.001186 0.001490 0.006014 -0.002824 0.108382 -0.047451 40.8557435214 -218.6126661590 42.98124
JGD2 22SEP13 2022.6995 59835 2227 2 141.4 -1067 -0.989844 4524553 0.245125 42 0.979221 0.0000 0.001214 0.001601 0.006440 0.062569 0.085848 -0.131929 40.8557435090 -218.6126661608 42.97922
JGD2 22SEP14 2022.7023 59836 2227 3 141.4 -1067 -0.989374 4524553 0.244164 42 0.981786 0.0000 0.001224 0.001478 0.006130 -0.033712 0.092948 -0.101497 40.8557435003 -218.6126661552 42.98179
JGD2 22SEP15 2022.7050 59837 2227 4 141.4 -1067 -0.991055 4524553 0.244384 42 0.981792 0.0000 0.001201 0.001505 0.006222 0.017851 0.103562 -0.127033 40.8557435023 -218.6126661752 42.98179
JGD2 22SEP16 2022.7077 59838 2227 5 141.4 -1067 -0.988081 4524553 0.245687 42 0.973412 0.0000 0.001237 0.001581 0.006502 -0.011753 -0.018590 -0.010184 40.8557435141 -218.6126661399 42.97341
JGD2 22SEP17 2022.7105 59839 2227 6 141.4 -1067 -0.985867 4524553 0.249234 42 0.969619 0.0000 0.001407 0.001888 0.007675 -0.078183 0.172348 -0.003050 40.8557435460 -218.6126661136 42.96962
JGD2 23MAR09 2023.1841 60012 2252 4 141.4 -1067 -0.985204 4524553 0.237443 42 1.006247 0.0000 0.001546 0.001729 0.007766 -0.138612 0.077588 -0.208772 40.8557434398 -218.6126661058 43.00625
JGD2 23MAR10 2023.1869 60013 2252 5 141.4 -1067 -0.984370 4524553 0.234576 42 0.991454 0.0000 0.001293 0.001493 0.006143 -0.093357 0.115031 -0.223510 40.8557434140 -218.6126660959 42.99145
JGD2 23MAR11 2023.1896 60014 2252 6 141.4 -1067 -0.978452 4524553 0.243528 42 0.980538 0.0000 0.001581 0.001855 0.008218 -0.013138 0.168544 -0.292951 40.8557434946 -218.6126660257 42.98054
JGD2 23MAR12 2023.1923 60015 2253 0 141.4 -1067 -0.991745 4524553 0.239085 42 0.990453 0.0000 0.001467 0.001725 0.007098 -0.212543 0.029587 -0.297678 40.8557434546 -218.6126661833 42.99045
JGD2 23MAR13 2023.1951 60016 2253 1 141.4 -1067 -1.003009 4524553 0.233140 42 0.969972 0.0000 0.003099 0.003687 0.013513 -0.152404 0.024335 -0.302195 40.8557434011 -218.6126663169 42.96997
JGD2 23MAR21 2023.2170 60024 2254 2 141.4 -1067 -0.985675 4524553 0.229649 42 0.994261 0.0000 0.001328 0.001621 0.006532 0.077594 0.091507 -0.086422 40.8557433696 -218.6126661113 42.99426
JGD2 23MAR23 2023.2225 60026 2254 4 141.4 -1067 -0.983836 4524553 0.228015 42 0.997613 0.0000 0.001692 0.001971 0.008317 -0.004869 0.034280 -0.199378 40.8557433549 -218.6126660895 42.99761
JGD2 23MAR24 2023.2252 60027 2254 5 141.4 -1067 -0.981847 4524553 0.229802 42 1.014639 0.0000 0.001196 0.001519 0.006166 -0.016045 0.153415 -0.094700 40.8557433710 -218.6126660659 43.01464
JGD2 23OCT08 2023.7673 60225 2283 0 141.4 -1067 -0.971561 4524553 0.223349 42 1.007582 0.0000 0.001254 0.001369 0.006006 -0.159139 0.294544 -0.233326 40.8557433129 -218.6126659439 43.00758
JGD2 23OCT09 2023.7700 60226 2283 1 141.4 -1067 -0.975815 4524553 0.219816 42 1.007703 0.0000 0.001360 0.001474 0.006833 -0.109598 0.143274 -0.219091 40.8557432811 -218.6126659944 43.00770
JGD2 23OCT10 2023.7728 60227 2283 2 141.4 -1067 -0.971238 4524553 0.222356 42 0.995326 0.0000 0.001199 0.001408 0.005920 -0.174489 0.233743 -0.311425 40.8557433040 -218.6126659401 42.99533
JGD2 23OCT11 2023.7755 60228 2283 3 141.4 -1067 -0.974140 4524553 0.224612 42 0.978897 0.0000 0.001260 0.001415 0.006061 -0.060091 0.083494 -0.202263 40.8557433243 -218.6126659745 42.97890
JGD2 23OCT12 2023.7782 60229 2283 4 141.4 -1067 -0.974912 4524553 0.223260 42 0.989000 0.0000 0.001227 0.001389 0.006143 -0.154167 0.186715 -0.245335 40.8557433121 -218.6126659837 42.98900
JGD2 23OCT13 2023.7810 60230 2283 5 141.4 -1067 -0.973039 4524553 0.224174 42 0.990118 0.0000 0.001282 0.001520 0.006380 -0.040532 0.098888 -0.204205 40.8557433203 -218.6126659615 42.99012
JGD2 23OCT14 2023.7837 60231 2283 6 141.4 -1067 -0.974265 4524553 0.222619 42 0.991073 0.0000 0.001212 0.001365 0.006035 -0.068683 0.184187 -0.191662 40.8557433063 -218.6126659760 42.99107
JGD2 23OCT15 2023.7864 60232 2284 0 141.4 -1067 -0.973961 4524553 0.223384 42 1.007319 0.0000 0.001815 0.002045 0.009633 -0.045075 0.265286 -0.413037 40.8557433132 -218.6126659724 43.00732
JGD2 23OCT17 2023.7919 60234 2284 2 141.4 -1067 -0.972380 4524553 0.220430 42 0.991030 0.0000 0.001278 0.001439 0.006637 -0.063057 0.275515 -0.199913 40.8557432866 -218.6126659536 42.99103
JGD2 23OCT18 2023.7947 60235 2284 3 141.4 -1067 -0.976162 4524553 0.221827 42 0.982838 0.0000 0.001241 0.001495 0.006568 -0.088177 0.221584 -0.305747 40.8557432992 -218.6126659985 42.98284
JGD2 23OCT19 2023.7974 60236 2284 4 141.4 -1067 -0.977199 4524553 0.227170 42 0.981700 0.0000 0.001349 0.001500 0.006572 -0.089590 0.163413 -0.300219 40.8557433473 -218.6126660108 42.98170
JGD2 23OCT20 2023.8001 60237 2284 5 141.4 -1067 -0.966963 4524553 0.217966 42 1.003244 0.0000 0.001242 0.001534 0.006194 -0.071818 0.147758 -0.126152 40.8557432644 -218.6126658894 43.00324
JGD2 23OCT21 2023.8029 60238 2284 6 141.4 -1067 -0.966357 4524553 0.218690 42 1.005813 0.0000 0.001414 0.001586 0.007153 -0.034214 0.220160 -0.336114 40.8557432710 -218.6126658822 43.00581
JGD2 23OCT22 2023.8056 60239 2285 0 141.4 -1067 -0.973260 4524553 0.218848 42 1.005927 0.0000 0.001299 0.001370 0.006305 -0.045339 0.167650 -0.265486 40.8557432724 -218.6126659641 43.00593
JGD2 23OCT23 2023.8084 60240 2285 1 141.4 -1067 -0.973588 4524553 0.220393 42 0.975382 0.0000 0.001275 0.001482 0.006398 -0.086892 0.145643 -0.227511 40.8557432863 -218.6126659680 42.97538
JGD2 23OCT24 2023.8111 60241 2285 2 141.4 -1067 -0.976946 4524553 0.223932 42 0.979789 0.0000 0.001324 0.001490 0.006659 -0.068028 0.223832 -0.192726 40.8557433182 -218.6126660078 42.97979
JGD2 23OCT25 2023.8138 60242 2285 3 141.4 -1067 -0.977737 4524553 0.223127 42 0.982002 0.0000 0.001279 0.001497 0.006427 -0.102465 0.212239 -0.190293 40.8557433109 -218.6126660172 42.98200
JGD2 23OCT26 2023.8166 60243 2285 4 141.4 -1067 -0.970912 4524553 0.217934 42 1.011692 0.0000 0.001260 0.001403 0.006040 -0.078452 0.083888 -0.228119 40.8557432641 -218.6126659362 43.01169
JGD2 23OCT27 2023.8193 60244 2285 5 141.4 -1067 -0.973794 4524553 0.219626 42 0.996629 0.0000 0.001297 0.001447 0.006526 -0.116454 0.227182 -0.254677 40.8557432794 -218.6126659704 42.99663
JGD2 23OCT28 2023.8220 60245 2285 6 141.4 -1067 -0.973851 4524553 0.222349 42 0.981381 0.0000 0.001338 0.001474 0.006717 -0.090747 0.242277 -0.190015 40.8557433039 -218.6126659711 42.98138
JGD2 23OCT29 2023.8248 60246 2286 0 141.4 -1067 -0.978549 4524553 0.224448 42 0.989104 0.0000 0.001224 0.001501 0.006112 -0.134876 0.209002 -0.180600 40.8557433228 -218.6126660268 42.98910
JGD2 23OCT30 2023.8275 60247 2286 1 141.4 -1067 -0.972100 4524553 0.219620 42 0.994174 0.0000 0.001235 0.001416 0.006016 -0.128374 0.209198 -0.244069 40.8557432793 -218.6126659503 42.99417
JGD2 23OCT31 2023.8303 60248 2286 2 141.4 -1067 -0.971281 4524553 0.219565 42 0.996657 0.0000 0.001220 0.001437 0.006090 -0.136841 0.163153 -0.209493 40.8557432788 -218.6126659406 42.99666
JGD2 23NOV01 2023.8330 60249 2286 3 141.4 -1067 -0.971429 4524553 0.218450 42 0.985098 0.0000 0.001393 0.001576 0.006867 -0.118832 0.224436 -0.271942 40.8557432688 -218.6126659424 42.98510
JGD2 23NOV02 2023.8357 60250 2286 4 141.4 -1067 -0.972618 4524553 0.219191 42 0.989797 0.0000 0.001244 0.001379 0.005930 -0.147919 0.235370 -0.189636 40.8557432755 -218.6126659565 42.98980
JGD2 23NOV03 2023.8385 60251 2286 5 141.4 -1067 -0.975096 4524553 0.221194 42 0.976958 0.0000 0.001344 0.001479 0.006501 -0.216742 0.271712 -0.137210 40.8557432935 -218.6126659859 42.97696
JGD2 23NOV04 2023.8412 60252 2286 6 141.4 -1067 -0.974923 4524553 0.220223 42 0.990534 0.0000 0.001292 0.001489 0.006524 -0.086977 0.227537 -0.198757 40.8557432848 -218.6126659838 42.99053
JGD2 23NOV05 2023.8439 60253 2287 0 141.4 -1067 -0.974072 4524553 0.222196 42 0.977705 0.0000 0.001394 0.001644 0.007270 0.047493 0.095674 -0.317244 40.8557433025 -218.6126659737 42.97771
