site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
UKU1 21OCT21 2021.8042 59508 2180 4 145.9 -2771 -0.083763 4876720 0.981186 81 0.198685 0.0000 0.000670 0.000908 0.002674 0.048445 -0.001923 -0.126504 44.0260871790 -214.1345646470 81.19869
UKU1 21OCT26 2021.8179 59513 2181 2 145.9 -2771 -0.082324 4876720 0.979954 81 0.185541 0.0000 0.000682 0.000903 0.002736 -0.007715 0.069811 -0.147006 44.0260871679 -214.1345646291 81.18554
UKU1 21OCT29 2021.8261 59516 2181 5 145.9 -2771 -0.080856 4876720 0.978986 81 0.184684 0.0000 0.000696 0.000942 0.002873 -0.001525 0.013490 -0.100485 44.0260871592 -214.1345646108 81.18468
UKU1 21OCT30 2021.8289 59517 2181 6 145.9 -2771 -0.082012 4876720 0.979673 81 0.187332 0.0000 0.000680 0.000902 0.002722 0.007432 0.032261 -0.087150 44.0260871654 -214.1345646252 81.18733
UKU1 21OCT31 2021.8316 59518 2182 0 145.9 -2771 -0.083370 4876720 0.980988 81 0.185997 0.0000 0.000672 0.000903 0.002759 0.005689 0.010597 -0.159984 44.0260871772 -214.1345646421 81.18600
UKU1 21NOV01 2021.8344 59519 2182 1 145.9 -2771 -0.082020 4876720 0.979494 81 0.193850 0.0000 0.000666 0.000899 0.002683 0.014033 -0.002177 -0.141671 44.0260871638 -214.1345646253 81.19385
UKU1 21NOV02 2021.8371 59520 2182 2 145.9 -2771 -0.082130 4876720 0.979500 81 0.193485 0.0000 0.000663 0.000894 0.002643 -0.001988 0.010449 -0.108535 44.0260871638 -214.1345646267 81.19348
UKU1 21NOV05 2021.8453 59523 2182 5 145.9 -2771 -0.084497 4876720 0.979808 81 0.184595 0.0000 0.000669 0.000891 0.002701 0.030645 -0.009153 -0.108262 44.0260871666 -214.1345646562 81.18459
UKU1 21NOV06 2021.8480 59524 2182 6 145.9 -2771 -0.084359 4876720 0.981666 81 0.188180 0.0000 0.000677 0.000911 0.002765 0.006583 0.043308 -0.079054 44.0260871833 -214.1345646545 81.18818
UKU1 21NOV10 2021.8590 59528 2183 3 145.9 -2771 -0.084899 4876720 0.979787 81 0.193272 0.0000 0.000673 0.000891 0.002652 0.036386 0.004387 -0.121767 44.0260871664 -214.1345646612 81.19327
