site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
X014 98SEP14 1998.7023 51070 975 1 140.9 -3789 -0.255183 4411222 0.197055 723 0.222239 0.0000 0.001567 0.001687 0.007764 -0.005722 -0.216951 -0.227921 39.8351226651 -219.1442675767 723.22224
X014 98SEP15 1998.7050 51071 975 2 140.9 -3789 -0.255932 4411222 0.199636 723 0.217283 0.0000 0.001555 0.001633 0.007799 0.015599 -0.221185 -0.271026 39.8351226884 -219.1442675855 723.21728
X014 98SEP16 1998.7077 51072 975 3 140.9 -3789 -0.256868 4411222 0.195857 723 0.225080 0.0000 0.001501 0.001591 0.007423 0.003687 -0.256478 -0.201131 39.8351226544 -219.1442675964 723.22508
X014 98SEP17 1998.7105 51073 975 4 140.9 -3789 -0.257610 4411222 0.201925 723 0.232050 0.0000 0.001514 0.001539 0.007229 0.033543 -0.241330 -0.216898 39.8351227090 -219.1442676051 723.23205
X014 98SEP18 1998.7132 51074 975 5 140.9 -3789 -0.254487 4411222 0.193944 723 0.233350 0.0000 0.001494 0.001552 0.007331 0.032526 -0.220725 -0.240494 39.8351226371 -219.1442675685 723.23335
X014 98SEP19 1998.7159 51075 975 6 140.9 -3789 -0.259661 4411222 0.198158 723 0.244170 0.0000 0.001470 0.001530 0.007029 0.074024 -0.224477 -0.260217 39.8351226751 -219.1442676290 723.24417
X014 98SEP20 1998.7187 51076 976 0 140.9 -3789 -0.261554 4411222 0.193000 723 0.234224 0.0000 0.001478 0.001593 0.007304 0.016576 -0.170313 -0.226477 39.8351226286 -219.1442676511 723.23422
X014 98SEP21 1998.7214 51077 976 1 140.9 -3789 -0.261642 4411222 0.192889 723 0.239578 0.0000 0.001475 0.001560 0.007206 0.032823 -0.264173 -0.186967 39.8351226276 -219.1442676521 723.23958
X014 98SEP22 1998.7242 51078 976 2 140.9 -3789 -0.260309 4411222 0.197133 723 0.232626 0.0000 0.001519 0.001606 0.007224 0.070554 -0.235201 -0.174051 39.8351226658 -219.1442676366 723.23263
X014 98SEP23 1998.7269 51079 976 3 140.9 -3789 -0.256410 4411222 0.197396 723 0.224375 0.0000 0.001530 0.001586 0.007293 0.074407 -0.268627 -0.220708 39.8351226682 -219.1442675910 723.22437
